image,charuco_id,observed_u,observed_v,projected_u,projected_v,error_px
images/frame_028.png,31,889.308472,1044.236938,890.248596,1044.122437,0.947072
images/frame_028.png,32,966.889099,1043.871582,966.849426,1044.034546,0.167723
images/frame_028.png,33,1043.816895,1043.945312,1043.600708,1043.946411,0.216189
images/frame_028.png,34,1120.423706,1044.218506,1120.503174,1043.858032,0.369129
images/frame_029.png,2,841.160156,949.628174,840.784973,949.395691,0.441374
images/frame_029.png,8,770.036011,970.066650,769.613281,969.839539,0.479875
images/frame_029.png,15,760.861572,992.171631,759.981140,992.170654,0.880433
images/frame_029.png,19,1035.510132,991.877258,1035.366821,991.670166,0.251843
images/frame_029.png,20,1103.909912,991.166199,1104.517822,991.544495,0.716005
images/frame_029.png,22,749.740479,1016.924438,749.332336,1016.858826,0.413382
images/frame_029.png,26,1039.324585,1016.597412,1039.265747,1016.423706,0.183400
images/frame_029.png,27,1112.270630,1016.234619,1112.086670,1016.314453,0.200536
images/frame_029.png,28,661.355713,1044.370483,661.345215,1044.385376,0.018221
images/frame_029.png,29,737.907776,1044.420776,737.496948,1044.297852,0.428824
images/frame_029.png,32,966.980774,1043.866455,966.849426,1044.034546,0.213323
images/frame_029.png,33,1043.817993,1043.977417,1043.600708,1043.946411,0.219486
images/frame_029.png,34,1120.276123,1044.227539,1120.503174,1043.858032,0.433690
images/frame_031.png,8,770.087402,970.129700,769.613281,969.839539,0.555864
images/frame_031.png,11,965.591919,969.313721,966.119019,969.426086,0.538943
images/frame_031.png,14,691.730164,992.890442,691.437683,992.295227,0.663193
images/frame_031.png,15,760.711792,992.247681,759.981140,992.170654,0.734701
images/frame_031.png,19,1035.476685,991.781311,1035.366821,991.670166,0.156279
images/frame_031.png,20,1104.067871,991.064880,1104.517822,991.544495,0.657637
images/frame_031.png,21,677.412842,1016.643982,677.184753,1016.967041,0.395464
images/frame_031.png,22,749.692017,1016.892578,749.332336,1016.858826,0.361260
images/frame_031.png,23,821.083069,1016.551453,821.613831,1016.750305,0.566790
